
Datum;Kl;NO;NO2;NOx;CO;CO2;PM10
2024-06-02;20:15:00;8.12343;10.5279;22.9405;0.206469;396.062;5.26793
2024-06-02;20:30:00;2.54259;5.59713;9.48221;0.213465;394.909;7.93937
2024-06-02;20:45:00;2.29159;4.43965;7.94121;0.229194;395.998;12.1701
2024-06-02;21:00:00;1.51563;4.7513;7.06719;0.243773;396.179;10.8432
2024-06-02;21:15:00;2.19736;6.71521;10.0728;0.226676;396.129;11.7562
2024-06-02;21:30:00;1.01569;6.62321;8.17519;0.298042;397.32;14.1443
2024-06-02;21:45:00;1.75289;7.92677;10.6052;0.367583;399.434;16.5508
2024-06-02;22:00:00;7.75455;11.691;23.54;0.438156;402.875;18.448
2024-06-02;22:15:00;3.28162;8.87872;13.893;0.393722;399.794;17.6722
2024-06-02;22:30:00;3.56199;11.0301;16.4728;0.301978;397.188;11.048
2024-06-02;22:45:00;2.72894;10.7321;14.9019;0.299309;397.695;10.3269
2024-06-02;23:00:00;4.64047;15.286;22.3766;0.262873;398.613;10.3856
2024-06-02;23:15:00;2.04413;14.3862;17.5097;0.220882;397.662;11.4532
2024-06-02;23:30:00;3.53892;16.6105;22.018;0.29674;402.016;14.6208
2024-06-02;23:45:00;2.26231;16.5016;19.9584;0.237851;402.728;17.2074
2024-06-03;00:00:00;3.33249;17.2287;22.3208;0.217224;403.643;14.4698
2024-06-03;00:15:00;2.42991;13.8219;17.5349;0.200693;406.263;15.5741
2024-06-03;00:30:00;5.91538;27.3684;36.4072;0.269887;407.253;58.4098
2024-06-03;00:45:00;1.73922;20.6005;23.258;0.222053;406.15;41.2156
2024-06-03;01:00:00;2.79445;15.7857;20.0556;0.268211;407.409;25.925
2024-06-03;01:15:00;2.80392;16.4426;20.727;0.286871;407.081;20.8997
2024-06-03;01:30:00;2.29866;17.0951;20.6075;0.286823;406.888;26.352
2024-06-03;01:45:00;1.04197;12.6165;14.2086;0.354664;407.479;17.1358
2024-06-03;02:00:00;2.07553;12.9929;16.1643;0.309855;407.246;17.72
2024-06-03;02:15:00;1.30953;16.3518;18.3528;0.289437;408.776;13.9562
2024-06-03;02:30:00;2.8811;22.6664;27.0687;0.277068;410.878;17.3509
2024-06-03;02:45:00;0.982019;17.9656;19.4662;0.188609;411.063;17.4603
2024-06-03;03:00:00;4.17451;21.7274;28.106;0.254509;413.769;15.632
2024-06-03;03:15:00;1.75146;17.2622;19.9384;0.243959;414.901;16.5943
2024-06-03;03:30:00;3.90636;15.2405;21.2094;1.26875;416.869;28.5679
2024-06-03;03:45:00;5.36759;17.7375;25.9392;1.2544;419.387;31.0657
2024-06-03;04:00:00;1.74478;16.3849;19.0509;0.214524;417.486;19.7712
2024-06-03;04:15:00;0.783971;15.4784;16.6763;0.234514;416.98;21.2729
2024-06-03;04:30:00;3.19617;17.0724;21.9561;0.289693;418.583;31.5747
2024-06-03;04:45:00;1.97035;18.0894;21.1001;0.238482;417.021;30.3904
2024-06-03;05:00:00;1.89385;14.3873;17.2811;0.293625;415.168;28.8023
2024-06-03;05:15:00;3.0002;13.8092;18.3936;0.321422;415.721;46.693
2024-06-03;05:30:00;1.2352;12.7989;14.6863;0.277155;415.99;20.7432
2024-06-03;05:45:00;7.97102;20.9254;33.1052;0.245975;421.713;21.0179
2024-06-03;06:00:00;12.6657;23.4888;42.842;0.25353;421.386;24.5224
2024-06-03;06:15:00;8.86343;29.4283;42.9716;0.434445;426.554;39.4369
2024-06-03;06:30:00;19.8351;45.1484;75.4563;0.392215;425.821;37.0039
2024-06-03;06:45:00;16.4785;41.7605;66.9397;0.414976;424.162;36.581
2024-06-03;07:00:00;49.9479;52.7375;129.058;0.517155;433.096;38.9917
2024-06-03;07:15:00;24.0035;48.6611;85.3385;0.434978;434.287;40.1956
2024-06-03;07:30:00;21.0627;46.1827;78.3666;0.485505;427.209;44.786
2024-06-03;07:45:00;21.8013;44.9578;78.2703;0.450205;423.586;43.9697
2024-06-03;08:00:00;22.3185;46.1887;80.2914;0.342721;421.704;46.4071
2024-06-03;08:15:00;14.8671;42.5244;65.2413;0.339102;419.306;46.7518
2024-06-03;08:30:00;14.5136;39.9482;62.1251;0.292762;416.926;47.4366
2024-06-03;08:45:00;34.2681;67.3015;119.663;0.406236;419.788;57.6342
2024-06-03;09:00:00;18.3985;26.719;54.8319;0.464778;407.681;42.1297
2024-06-03;09:15:00;19.7578;33.0577;63.2476;0.417084;410.765;42.2257
2024-06-03;09:30:00;14.5404;26.2532;48.4709;0.379164;411.145;38.0344
2024-06-03;09:45:00;26.9098;69.7648;110.883;0.387355;416.944;38.5689
2024-06-03;10:00:00;21.4682;35.417;68.2205;0.395513;414.365;40.7244
2024-06-03;10:15:00;13.3461;18.1951;38.5879;0.387971;400.092;34.9898
2024-06-03;10:30:00;13.8736;25.2204;46.4191;0.375351;400.559;24.6582
